date,Ben Zobrist,Evan Longoria,Sean Rodriguez,Hideki Matsui,Jose Molina,Ryan Roberts,B.J. Upton,Sam Fuld,Carlos Pena,Elliot Johnson,Desmond Jennings,Chris Gimenez,Matthew Joyce,Luke Scott,Jeff Keppinger,Jose Lobaton,Will Rhymes
8/24/12,1.73,1.27,0.69,0.00,0.99,1.15,1.49,0.75,0.80,0.34,0.91,0.00,0.68,0.38,0.98,0.53,0.00
8/25/12,1.86,1.34,0.69,0.00,0.99,1.24,1.49,0.84,0.88,0.34,1.12,0.00,0.68,0.47,0.98,0.53,0.00
8/27/12,1.61,1.34,0.69,0.00,0.90,1.24,1.44,0.92,0.72,0.34,1.37,0.00,0.61,0.47,0.96,0.53,0.00
8/28/12,1.40,1.25,0.38,0.00,0.53,1.17,0.92,1.05,0.72,0.34,1.24,0.00,0.61,0.67,0.80,0.53,0.00
8/29/12,1.58,1.39,0.29,0.00,0.62,0.96,1.21,0.99,0.51,0.55,1.42,0.00,0.61,0.67,1.07,0.46,0.00
8/30/12,1.69,1.32,0.20,0.00,0.36,0.66,1.01,0.96,0.29,0.39,1.31,0.00,0.54,0.67,1.16,0.55,0.00
8/31/12,1.60,1.32,0.00,0.00,0.36,0.87,1.09,0.74,0.38,0.21,1.36,0.00,0.61,0.67,1.26,0.30,0.00
9/1/12,1.73,1.46,0.00,0.00,0.36,1.08,1.33,0.74,0.38,0.21,1.37,0.00,0.79,0.55,1.35,0.37,0.00
9/2/12,1.71,1.55,0.00,0.00,0.52,1.01,1.22,0.83,0.68,0.21,1.60,0.09,0.63,0.55,1.26,0.16,0.00
9/3/12,1.74,1.46,0.00,0.00,0.38,1.01,1.53,0.74,0.68,0.34,1.69,0.34,0.50,0.42,1.19,0.16,0.00
9/4/12,1.36,1.65,0.00,0.00,0.25,0.94,1.65,0.74,0.75,0.34,1.92,0.34,0.50,0.29,1.19,0.16,0.00
9/5/12,1.40,1.76,0.00,0.00,0.25,0.85,1.65,0.81,0.67,0.34,1.87,0.34,0.59,0.41,1.28,0.36,0.00
9/7/12,1.59,1.67,0.00,0.00,0.34,0.85,1.74,0.73,0.67,0.34,1.62,0.41,0.59,0.41,1.21,0.36,0.00
9/8/12,1.43,1.67,0.00,0.00,0.34,0.90,1.85,0.48,0.67,0.34,1.53,0.41,0.59,0.21,1.37,0.36,0.00
9/9/12,1.19,1.43,0.00,0.00,0.46,0.99,2.16,0.29,0.85,0.13,1.28,0.41,0.88,0.21,1.19,0.36,0.00
9/11/12,1.17,1.41,0.00,0.00,0.46,1.27,2.16,0.29,0.85,0.34,1.28,0.41,0.86,0.21,1.19,0.27,0.00
9/12/12,1.24,1.73,0.00,0.00,0.46,1.15,2.29,0.29,0.84,0.34,0.94,0.41,1.02,0.21,1.06,0.27,0.00
9/13/12,1.31,1.68,0.00,0.00,0.55,1.12,2.04,0.29,0.96,0.34,0.95,0.50,0.75,0.21,1.15,0.20,0.00
9/14/12,1.38,1.50,0.00,0.00,0.39,0.99,2.16,0.20,0.68,0.45,0.86,0.67,0.75,0.21,1.06,0.20,0.00
9/15/12,1.27,1.62,0.00,0.00,0.39,1.00,1.86,0.20,0.75,0.33,0.86,0.42,0.95,0.30,0.97,0.20,0.00
9/16/12,1.61,1.43,0.00,0.00,0.39,0.91,1.52,0.20,0.68,0.33,0.64,0.42,0.95,0.30,0.97,0.27,0.00
9/17/12,1.53,1.25,0.00,0.00,0.46,0.91,1.79,0.04,0.72,0.33,0.48,0.42,0.86,0.18,0.88,0.07,0.00
9/18/12,1.43,1.04,0.07,0.00,0.37,0.91,1.67,0.04,0.87,0.33,0.69,0.35,0.86,0.18,0.97,0.07,0.00
9/19/12,1.59,1.20,0.07,0.00,0.66,0.77,1.69,0.00,1.29,0.33,1.04,0.35,1.18,0.47,1.20,0.07,0.00
9/20/12,1.52,1.15,0.07,0.00,0.45,0.68,1.39,0.00,1.27,0.33,1.35,0.35,0.99,0.69,1.11,0.07,0.00
9/21/12,1.80,1.38,0.07,0.00,0.79,0.53,1.52,0.00,1.52,0.12,1.35,0.35,1.06,1.02,1.36,0.07,0.00
9/22/12,1.87,1.34,0.07,0.00,1.18,0.65,1.50,0.00,1.45,0.12,1.88,0.35,0.82,1.15,1.49,0.07,0.00
9/23/12,1.84,1.47,0.07,0.00,1.09,0.47,1.71,0.00,1.41,0.12,1.98,0.26,0.88,1.15,1.31,0.07,0.00
9/25/12,1.80,1.65,0.07,0.00,1.27,0.47,1.59,0.00,1.42,0.00,1.77,0.00,0.97,1.22,1.61,0.07,0.00
9/26/12,2.02,1.51,0.07,0.00,1.27,0.42,1.59,0.00,1.65,0.00,1.68,0.00,0.77,1.13,1.70,0.20,0.00
9/27/12,1.74,1.63,0.07,0.00,1.27,0.42,1.59,0.07,1.58,0.00,1.59,0.00,0.77,1.43,1.79,0.13,0.00
9/28/12,1.93,1.70,0.14,0.00,1.20,0.42,1.32,0.21,1.61,0.00,1.59,0.00,0.77,1.43,1.95,0.13,0.00
9/29/12,2.04,1.86,0.14,0.00,1.20,0.58,1.36,0.21,1.46,0.00,1.59,0.37,1.21,1.52,2.07,0.13,0.00
9/30/12,2.02,1.92,0.14,0.00,0.91,0.79,1.78,0.21,1.04,0.00,1.56,0.53,0.89,1.37,1.75,0.13,0.00
10/1/12,2.32,1.93,0.14,0.00,0.91,0.79,1.57,0.30,0.88,0.00,1.26,0.75,0.80,1.15,1.75,0.13,0.00
10/2/12,2.09,1.72,0.14,0.00,0.57,0.66,1.51,0.30,0.63,0.00,1.26,0.84,0.66,0.82,1.41,0.13,0.00
10/3/12,1.95,2.07,0.14,0.00,0.18,0.65,1.32,0.30,0.63,0.00,0.72,0.93,0.66,0.69,1.10,0.13,0.00
